District,Date,Operator,Lease/Facility Name,Lease/ID,API#,Drill Permit #,Well #,Field Name,County,Fire,H2S,Injuries,Deaths,Remarks
03,10/27/13,SEM Operating Company,Eastham State Prison Farm Lease,,,771261,503,"Ft. Trinidad (Glen Rose, Upper)",Houston,N,N,0,0,"While coming out of the hole to do a wiper trip, the well came in on them and was flowing water up to the crown on the mast of the rig and is spraying the location with 5800 mg/l chloride water."
01,10/13/13,"EOG Resources, inc.",Dreyer Unit,,,754890,14H,Eagleville (Eagle Ford -1),Gonzales,N,Y,0,0,"Flowing back the well and a flange on a 2"" outlet flowline on the well busted and realeased 200bbls of crude oil."
02,10/06/13,"Mission River Systems, Inc.",Franklin - Vance Unit,149069,,,1,"Texana, North (Frio 6900)",Jackson,N,N,0,0,The needle valve on top of the tree was cut out.
8A,09/24/13,Occidental Permian LTD.,Denver Unit,18910,,,6519WC,Wasson,Gaines,N,N,0,0,Well failed an H-5 (MIT TEST) and workover rig had been moved over well to repair it when it began to release presssure below.
08,09/18/13,"Jetta Operating Company, Inc.",Worsham 6-14,42264,,,1H,Two Georges (Bone Spring),Reeves,N,Y,0,0,Well started blowing while fracturing an offset well.
03,09/17/13,Prime Operating Company,Moneywort,215683,,,1,Boswell Creek (Frio 3100),Walker,N,N,0,0,Well began to flow back through tubing during P&A procedures. Well is located in National Forest.
8A,09/13/13,King Operating Corporation,Emma 76 unit,,,748852,1H,"Garden City, S. (Wolfcamp)",Scurry,N,N,0,0,"Prior to running a pump an electrical sumbersible pump on the tubbing at well no. 1H, a pump out plug was set above the perfs. at 6100'."
08,09/10/13,Apache Corporation,E.D. Brooks 2,,,759248,16,Spraberry (Trend Area),Glasscock,N,N,0,0,Pressure built up while the well was shut down and the rubber packing around the tubbing blew out.
02,08/28/13,EOG Resources,Willis Unit,,,762110,2H,Eagleville (Eagle Ford -2),Lavaca,Y,Y,0,0,Home 1500' away from well was evacuated. Brief loss during the cement job but they had returns when they bumped the plug. Waited 41/2 hours the well was stable and the personnel started to remove the BOP to set the slips. The well showed no sign of problems until the BOP were unbolted. The well started flowing and the crew tried to stab the BOPS back on but the flow got to strong and teh crew evacuated the location.
09,08/25/13,"Brigadier Operating, LLC",Haslsell Ranch,,,765921,B8,KRS (Marble Falls),Jack,N,N,0,0,"After tripping out of the hole and laying down all 4 1/2"" drill pipe and 4-6 1/4"" drill collars of a total of 12, the well started to flow."
04,08/07/13,"Lewis Petro Properties, Inc.",Gates 10-DR TR2,,,749435,87H,Brisco Ranch (Eagleford),Webb,Y,Y,0,0,Well began to flow after the cementing of the production casing. Crew was in the process of rigging down the BOP when the well began to flow.
08,07/26/13,Endeavor Energy Resources L.P.,"State ""6""",,,725013,1,Wolfbone (Trend Area),Reeves,N,Y,3,0,Workover crew was cleaning out sand and foam from a recently completed well when the bolts on the stripper hear attached to the BOP failed. The workers were peppered with sand and rocks. They were all taken to area hospitals.
05,07/25/13,O'Benco,Bonner,,,754066,1H,Cheneyboro (Cotton Valley),Navarro,N,Y,0,0,During a fracture treatment the casing parted.
8A,06/24/13,"Juno Operating Company II, LLC",Clark Wood Ranch,69994,,,1053,Hoople (clear fork),Crosby,N,N,0,0,Recently drilled well started blowing air and water.
01,06/13/13,"Eagle Ford Oil Co., Inc.",Kirk 35H,12956,,,1,Pearsall (Austin Chalk),La Salle,N,N,0,0,Well was brought under control and area will be remediated. Cause unknown.
03,06/06/13,"Zachry Exploration, LLC",Tulane Gordon Unit,203729,,,1C,Chesterville,Colorado,N,N,0,0,Well blewout after flowing gas and sand up the casing. Wild Well Control was sent to the site.
02,05/20/13,Marathon,Mccoy Unit,09994,,,,Eagleville (Eagle Ford -2),Live Oak,N,Y,0,0,Well control issue while killing the well to put in tubing. Packing gland at wellhead failed.
7B,05/03/13,Tarpon Oil & Gas Co.,BOA,,,759345,1,"Mineral Wells (Strawn, Lower)",Palo Pinto,N,N,0,0,Well took a kick at the formation
09,04/19/13,"Eagleridge Operating, LLC",Smith-Yorlum,,,752567,7H,"Newark, East (Barnett Shale)",Denton,N,N,0,0,One nearby house evacuated. Drilling out frac plugs when well released an unexpected amount of produced gas.
08,04/10/13,Petrohawk Operating Company,Horseshoe Springs State 113-16,,,757869,1V,Phantom (Wolfcamp),Culberson,Y,N,0,0,Sick line deviation survey was being run when the gas blew out.
08,04/05/13,Anadarko Petroleum Corporation,Davis 34-169 B unit,,,743818,1H,Phantom (Wolfcamp),Ward,N,N,3,1,"During the instalation of a subpump, the well had been killed and the donut lifted when the well blewout."
03,03/27/13,Anadarko E&P Onshore LLC,Black Ston,255958,,,2,"Brookeland (Austin Chalk, 8800)",Martin,N,N,0,0,Nearby residents have been evacuated. During swabbing activities well came in.
10,02/28/13,Le Norman Operating LLC,Ruth 87,,,751239,2H,Hemphill (Granite Wash),Hemphill,N,N,1,0,Production casing parted during fracking. Wild well is on location.
02,02/22/13,Rodessa Operating,Fenner,229604,,,1,Grumpy (Frio),Jackson,N,N,0,0,Closed FM 530 from HWY 59 to site (about 10 miles)Well kicked when pulling out tubing.
08,02/13/13,Occidental Permian LTD.,Denver Unit,18910,,,4704WC,Wasson,Yoakum,N,N,0,0,Closed 400' of CR37o for an hour. Injection well started flowing oil and water outstide of the casing.
08,02/12/13,"XTO Energy, Inc.",Brown-Altman -B-,26010,,,30 WSW,"Emperor, East (Clear Fork, LO)",Winkler,N,Y,0,0,Well started flowing when trying to remove downhole ESP equiment and tubing out to the water supply well.
08,02/11/13,"Trilogy Operating, Inc.",Holt Ranch,,,751647,6,Spraberry (Trend Area),Martin,N,N,0,0,While fracture stimulating the well the frac head busted.
08,01/11/13,Cimarex Energy Co.,Big Silver,,,749632,4H,Phantom (Wolfcamp),Ward,N,N,0,0,Valve was accidentally lefy open below groundlevel in the cellar.
04,12/13/12,"Webb County Unlimited Resources, LLC",Ortiz,,,749256,1,"Dejay (Queen City, UP.) Field",Duval,N,N,0,0,Valve failure caused well to flow.
08,11/05/12,Kinder Morgan Production Co. LLC,Sacroc Unit,03137,,,118-01,Kelly-Snyder,Scurry,N,Y,0,0,During plugging operations well started blowing out through the tubing when the tubing was approximately 10 ft. in the air.
03,08/25/12,"Sue-Ann Operating , L.C.",Middlebrook lease,23109,,,1,Needville,Fort Bend,Y,N,0,0,Well blew out and caught fire.
02,08/20/12,"Maxmin Resources, LLC","Reissig, E.W. Sawyer",074562,,,,"Speaks, N. (3232 SD) Field",Lavaca,N,N,0,0,Well came in after they made a wireline run. They did not us lubricator and had no way to divert or control the well.
05/06,07/25/12,"Western Chief Operating, L.L.C.",James Worley,,,733530,1,Wildcat,Houston,N,N,0,0,Lost control while fracing the well.
10,07/06/12,"Lareda Petroleum, Inc.",Elm Creek Ranch 34,,,735044,5H,Begert,Hemphill,Y,N,0,0,Well blew out and caused fire. Well plugged.
03,06/19/12,"GEL Petroleum, Inc.",Rycade,,,2978,18,Markham,Matagorda,N,N,0,0,Workover rig was pulling rods out when well blew out.
08,05/31/12,"EXL Petroleum, LP",Totsy,,,732961,201,Wolfbone (Trend Area),Reeves,Y,N,0,0,After setting surface casing they hit a loss circulation zone and had been fighting an uncontrolled flow.
08,03/22/12,"Occidental Permian, Ltd.","Holt, O.B. /S/",00798,,,4a,"Cowden, North",Ector,N,Y,0,0,Well was leaking through split in the tubing just above the stuffing box. Pumping in brine water to kill the well.
09,03/17/12,"EC Stryker, Inc.",Epperson,,,724868,1,JMG MAG (Miss),Jack,N,N,0,0,Well received a kick when crew was pulling out a bottom hole.
06,03/07/12,"MJ Energy, LLC",Chumley V,,,731220,1,Mooringsport (Lime),Shelby,Y,N,0,0,Well blew out and caused fire. Operator pumped in mud to kill the well. Moving rig to bring in new one and is going to try to complete the well.
8A,11/07/11,"Occidental Permian, LTD",Wasson ODC Unit,,,60000,228,Wasson,Yoakum,N,Y,0,0,Well was leaking outside of wellhead.
01,10/23/11,"Slawson Exploration Company, Inc.",Polizer,,,711503,1,Polzer,Milam,Y,N,1,0,Blowout occurred while tripping drill string and new bit in hole.
08,10/07/11,Endeavor Energy Resources L.P.,"M&M ""5""",,,716972,1,J.L.M. (Mississippian),Martin,N,N,0,0,Intersection of Hwy 137 and State Hwy 176 was blocked to traffic from the West. To the East State Hwy 176/FM 3033 was blocked to traffic. The well began to flow during workover.
7C,10/03/11,"Telesis Operating Co., Inc",CJM -7-,,,712826,4,,Schleicher,N,N,0,0,After perforating at 3850' and pulling out of the hole with the perforating gun to almost the surface the well blew out.
08,09/22/11,Eagle Oil & gas Co.,Monroe 39,,,719061,2H,Wolfbone (Trend Area),Reeves,N,Y,0,0,"Casing parted during frac job, which caused the wellhead to separate from the well."
03,07/14/11,"KD Energy, LLC",Matl Lease,235068,,,,Wildcat,Matagorda,N,N,0,0,Production tubing sanded up and blew out covering A 2 acre area.
03,07/09/11,"Milagro Exploration, LLC",H.C. Cockburn lease,,,716641,172,Magnet Withers,Wharton,N,N,0,0,Running in hole with surface casing and well started to flow and unload all mud.
7C,06/27/11,Endeavor Energy Resources L.P.,Ricker Rupert,,,717481,1,Spraberry (Trend Area),Reagan,N,N,0,0,Casing had just been completed and BOP was removed to istall wellhead when well started to kick and blew out from the side.
08,06/08/11,"Occidental Permian, LTD",Wasson ODC Unit,60000,,,380,Wassson,Yoakum,N,N,0,0,Loss of well control during workover.
06,06/04/11,"NFR Energy, LLC",Foote GU,260612,,,1 H,Carthage (Haynesville Shale),Panola,N,N,0,0,Casing ruptured during fracture stimulation operations.
08,05/26/11,"William, Clayton Energy, Inc.",CWEI_CHK 197-13,,,713389,1,Wolfbone Trend Area,Reeves,Y,N,0,0,While making a connection the well took a kick.
03,04/18/11,Kaiser Francis Oil Co.,Kubala,180765,,,1,Jones Creek (Deep Wilcox),Wharton,N,N,0,0,Well was recently fraced and during flow back/ clean up a leak developed on a Weco connection.
03,04/15/11,Jetta Operating Co.,T.R. Booth,,,708647,41,Thompson,Fort Bend,N,N,0,0,Hit a gas pocket during drilling and well started blowing gas and mud. Plan is to plug well once all the gas is out of the hole.
03,04/01/13,"Choice Exploration, Inc.",Village Creek,,,699228,1,Wildcat,Hardin,Y,N,0,0,Blowout with fire.
08,03/16/11,"Devon Energy Production Co., L.P.",Drakester 209,,,707967,1H,Phantom (Wolfcamp),Ward,N,N,0,0,While tripping in the hole the well started unloading through the drill pipe.
03,03/01/11,K.O.C. CORPORATION,"Baker, Carrie",2793,,,9,Lochridge,Brazoria,N,N,0,0,Well built pressure and started blowing.
08,02/16/11,Occidental Permian LTD.,North Cowden Unit,20164,,,796,"Cowden, North",Ector,N,N,0,0,Leaking flowline was shut in due to a leak and well started spraying. Killed well with mud.
08,02/14/11,Occidental Permian LTD.,North Cowden Unit,20164,,,269,"Cowden, North",Ector,N,N,0,0,Leaking flowline was shut in for some time due to a leak and well pressured up and blew out. Intially it was just a spray of oil and then all CO2 gas. Killed well with mud.
03,02/14/11,"Murphy Energy Services, L.P.",Elise Fee NCT,,,704707,2,"Saratoga, West",Hardin,Y,N,0,0,Drilling out cement plug when well came in.
08,01/20/11,Endeavor Energy Resources L.P.,Lewellen,,,708322,2,Brasher (Atoka),Midland,N,N,0,0,While drilling well an air pocket ant the well belw out Yates gas and across CR1150. Highway and CR 1150 closed for a few hours.
08,01/12/11,Occidental Permian LTD,North Cowden Unit,20164,,,198,"Cowden, North",Ector,N,Y,0,0,Tubing parted beneath the ground level.
05,12/8/2010,XTO Energy,Elvin Barnett,,,697695.0,9,Bald Prairie,Robertson,N,N,0,0,Well kicked during drilling. Closed BOPs but they did not hold.
7C,12/3/2010,COG Operating,Ellie Lease,16859.0,,,1415,,Upton,Y,N,1,0,"Gas kicked and ignited, injuring one man."
01,11/14/2010,"Virtex Operating Company, Inc.","Charles A. Beaver, Sr.",11432.0,,,1,Uknown,Frio,N,Y,0,0,Virtex was drilling new well about 50 +/- feet away from old well and old well blew out. CR 1581 closed.
08,11/9/2010,Kinder Morgan Production Co LLC,Yates Fiedl Unit,24061.0,,,21C28,Yates,Pecos,N,Y,0,0,All county road and lease roads leading to the well area were blocked off. Well kicked while being converted from production to C02 injection well. Operator pumped rubber into well in order to plug leaking BOP and then regained control of well.
8A,11/10/2010,Occidental Permian,Denver Unit,18910.0,,,2505W,Wasson,Yoakum,N,N,0,0,A well runner was making an attempt to close off tubing valve after a needle valve had broken off. New valve connection was placed at the top of wellhead to regain control.
08,11/10/2010,Apache Corporation,East Mallett Unit,15298.0,,,14,Slaughter,Cochran,N,Y,0,0,Well kicked when pulling out tubing. Able to gain control of well by pumping mud and with Blowout preventer.
08,9/29/2010,Occidental Permian LTD,Levelland Unit,3780.0,,,853,Levellalnd,Hockley,N,N,0,0,Replacing packing when well blew out. Well pressured up and blew the packing rubbers.
08,9/22/2010,Kinder Morgan Production Co. LLC,Sacroc Unit,3137.0,,,257-04,Kelly Snyder,Scurry,N,N,0,0,Hole in the surface casing. (Well was being used as a disposal well.
03,9/22/2010,Unit Petroleum Company,Blackstone- Duff gas unit,193840.0,,,1,Villiage Mills Deep (WX Cons.),Hardin,N,N,0,0,Workover operations were finished at 5:00 pm and well appeared to be stable. At around 8:00 a homeowner in the area called in the blowout.
09,6/17/2010,Wilcox,"Johnson, LK",,,692937.0,302,Wildcat (4999),Foard,N,N,0,0,"Operator perforated hole w/ water @ 3,472' and gas came in, operator was expecting oil from the zone.Well was shut-in with BOP."
02,5/21/2010,XTO Energy,Sibley Estate,,,177228.0,8,Wildcat,Lavaca,N,N,0,0,After drilling out the plug the well came in blowing gas over the derrick crown. The BOPs were shut in but failed.
01,5/17/2010,Anamdarko E&P Co. LP,Tovar West-Lloyd,,,693949.0,1H,Brisco Ranch (Eagleford),Maverick,N,N,0,0,While pulling out 2 joints the well came in and unloaded.
04,5/5/2010,Sanchez Oil & Gas Corporation,La Pita,,,692752.0,2,Wildcat,Cameron,N,N,0,0,When pipe was cut well began flowing and BOPs failed to close.
02,4/2/2010,Lavaca River Operating Co. LLC,Reid,,,689970.0,1,Wildcat,Lavaca,N,N,0,0,Operator was tripping the drill pipe and gas began to kick.
08,4/8/2010,"XTO Energy, Inc.",University Blk. 9,15046.0,,,2H,University Blk. 9 Wolfcamp/Unit,Andrews,N,N,0,0,Packer got stuck in BOP.
08,4/27/2010,"Sandrige Expl. And Prod., LLC",Allison,,,691225.0,3034,Pinon (Overthrust),Pecos,N,N,0,0,Controlled release afer well took a kick while drilling.
7B,4/12/2010,"Burlington Resources O&G CO., LP.",EW Lease,,,668669.0,1CD,Palo Pinto Co. Reg. (Gas),Palo Pinto,N,N,0,0,The well took a kick while plugging.
08,3/20/2010,Element Petroleum Operating,Barnes 3,,,688196.0,1,Spraberry (Trend Area),Howard,N,N,0,0,Well began to blow while logging the well.
04,11/24/2009,Triad Energy Corp.,Seeligson Unit,87684.0,,,1,Seeligson (Combined Zones),Jim Wells,N,N,0,0,Well was assumed dead the BOP was removed. Well pressured up and the blowout began.
06,10/26/2009,XTO Energy INC.,New Horizons,,,673033.0,,"Carthage, North (Bossier Shale)",Panola,N,N,0,0,Leaking packer was being snubbed out of the well when the tubing parted and well blew out.
05,9/14/2009,Encana,Mercer Ranch Lease,,,667560.0,406 H,"Newark, East (Barnett Shale)",Tarrant,N,N,0,0,Pumper reported the well was spewing gas between the master valve and the surface casing flange.
03,8/18/2009,LGDC Corp.,Dompier-Nix,212749.0,,,1,Richmond Ranch (Vicksberg),Fort Bend,N,N,0,0,"Operations were underway to fish a packer at 5785' and while tripping out of the hole, the well cam to."
03,8/27/2009,DCP Austin Gathering,Pipeline Gathering,,,,,Giddings (Austin Chalk),Lee,Y,N,0,0,Pipeline Ruptured without external impact. Line was shut in and fire burned itself out.
08,8/12/2009,"Chesapeake Operating, Inc.",TXL -B-,11858.0,,,5,Slator (San Andres),Ector,N,N,0,0,Loss of well control after frac job.
05,8/8/2009,Quicksilver Resources INC.,"Alliance ""L"" Pad",,,662308.0,3H,"Alliance ""L"" Pad",Tarrant,N,N,0,0,During drill out operations they suspect the tubing split and blowout occurred through casing.
02,7/6/2009,Dewbre Petroleum Corp,Charles,186977.0,,,1,"Sartwelle, West (Yegua 5600)",Lavaca,N,N,1,0,Removing existing wellhead and the well began to flow dry gas and produced water.
05,7/1/2009,XTO Energy,Weatherby Unit,,,657907.0,3H,"Newark, East (Barnett Shale)",Johnson,N,N,0,0,Going into circulate clean when they hit a perf and the tubing failed. 12 residents evacuated and public roads to the lease closed.
8A,6/11/2009,Kinder Morgan Production Co LLC,Sacroc Unit,3137.0,,,260-04,Kelly-Snyder,Scurry,N,Y,0,0,5-6 homes evacuated as a precaution. Well was leaking from brandenhead or/the casing annulus. H2S was monitored the entire time.
05,4/23/2009,Encanca Oil & Gas (USA) Inc.,DCR,,,641830.0,1,Wildcat,Robertson,N,Y,0,1,Rig was on well pulling coiled tubing after clean out job; tubing became stuck and well started flowing. Injured person passed away at later time.
03,4/16/2009,The Daniels Corporation,"McCracken, Catherine",14765.0,,,1A,"Lake Houston, (Cockfield)",Harris,N,N,0,0,Casing valve leaking. Near subdivision and strip mall. Kohl's and Target were shut down. Well was on orphaned well list to plug with state funded plugging.
03,3/30/2009,Exxcel Operating Company,Nortington,118618.0,,,1,Bernard W.,Wharton,N,N,0,0,Casing valve cut out while bleeding off the pressure from the production casing.
03,2/5/2009,Krescent Energy Company,Quinn,,,666332.0,3H,Wildcat,Tyler,N,,0,0,
04,2/9/2009,Del Mar Exploration Company,Perkins-Lagasse,,,674612.0,1,Saxet Field,Nueces,N,N,0,0,Well kicked when operator was entering hole with 2 joints of drill pipe. Considered a short duration blowout; loss of 30bbls.
10,1/9/2009,Mewbourne oil company,Leslie Webb Et Al,,,673919.0,1893,"Wildcat, Mendota Ranch",Hemphill,Y,N,N,N,Blowout occurred during a bit change tip.
8A,12/2/2008,Kinder Morgan Production Co. LLC,Sarco Unit,3137.0,,,177-04,Kelly-Snyder,Scurry,N,Y,0,0,
03,11/14/2008,Kimgwood Exploration,Sharpshooter,24891.0,,,1,"Hastings, East",Brazoria,N,N,0,0,County road 242 closed. Well had a hole in the surface casing and was leaking.
7B,10/9/2008,"Culebra Oil & Gas, LLC",M. Smith Lease,,,664518.0,3,,Palo Pinto,N,N,0,0,Hole developed in flow line from wellhead.
08,10/7/2008,Energen Resources Corp,North Westbrook Unit,20831.0,,,6857,Westbrook,Mitchell,N,N,1,0,Well was blowing through pit and choke manifold
03,9/23/2008,Fairways Offshore Expl. Inc.,State Tract 366-L,135948.0,,,1U/L,Middle Bank Reef (C-54),Bazoria,N,N,0,0,Bell nipple failed during nitrogen fracture stimulation
6,9/17/2008,"SE Energy, L.L.C.",Tenaha SED,,,665035.0,1,"Tenaha, South(Cotton Valley)field",Shelby,N,N,N,N,Operator was having problems with well; controlling it with 12.3 ppm mud. Closed BOPS and well blewout
5,8/24/2008,Blue Start Operating Co.,"Rachul, Verna ET Al",163937.0,,,1R,RachuI (Cotton Valley Lime),Robertson,N,Y,1,N,"Person ran over well head, causing blowout"
8,8/15/2008,Kinder Morgan Production Co LP (463318),Saroc Unit,3137.0,,,91-3,Kelly Snyder,Scurry,N,N,N,N,"brandenhead cracked, venting produced water"
3,7/22/2008,Holifield Oil Co.,Dawsey Lease,18483.0,,,1,Giddings Austin Chalk,Lee,N,N,N,N,Landowner clearing land knocked off valve with bulldozer
1,5/8/2008,Express Oil Co.,Reyes,,,658893.0,1,,Dimmit,Y,N,5,0,"well blew out thru the kelly, well was being re-completed"
3,4/15/2008,Decker Operating,Mary Macha Gas Unit 2,192685.0,,,1,Mary Macha (Frio),Wharton,N,N,N,N,"swabbed well in,blew cement out,well shut-in"
6,3/7/2008,Hunt Petroleum Corporation,Allie Marie Hogg,232684.0,,,10,"Carthage, North (CV)",Panola,N,N,N,N,valve developed leak
6,2/18/2008,ANADARKO PETROLEUM CORP.,Buford and Blow,,,645056.0,,Oak Hill,Gregg,Y,,,,
6,1/28/2008,Cabot Oil & Gas,Pinkerton,,,640360.0,8,Minden,Rusk,N,N,N,N,"valve on frac stack failed, 61 people evacuated"
3,1/26/2008,CWC OIL AND GAS CO.,R M White,109497.0,,,28,Anahuac,Chambers,N,N,N,N,"venting gas created cloud,sheriff closed Hwy.well shut-in"
8,1/2/2008,"Petroplex Energy, Inc.",Petrey,,,633216.0,,Mi Vida (Ellen),Reeves,N,Y,N,N,"valve in cellar blew off, plan to try and unstick drill pipe"
4,12/16/2007,"BRIGHAM OIL & GAS, L.P.","Sullivan, D. J.",,,,C-31,Triple Crowne (Vicksburg),Brooks,N,N,N,N,"crew going back into hole with tubing,well begain flowing back at them"
8A,11/2/2007,Kinder Morgan Production Co LLC,Sacroc Unit,3137.0,,,178-01,Kelly-Snyder,Scurry,N,N,N,0,bottom valve failed while changing out master valve on tree
3,10/23/2007,"Famcor Oil, Inc.",Santa Fe #B,,,645146.0,2r,Kenneth Reiss (Wilcox),Polk,N,N,N,0,"casing valve left open, valve cut out and will be replaced"
8,10/20/2007,WHITING PETROLEUM CORPORATION,G. W. O'Brien,7338.0,,642117.0,761,,Winkler,N,N,1,0,worker fatally injured by rig equipment
3,10/9/2007,Bomco USA,International Disposal,15950.0,,,1,Pierce Junction,Harris,N,N,N,0,gas blew valve off casing side
6,10/2/2007,"Samson Lone Star, LLC",J. W. Elliott,15932.0,,,1,Chapel Hill (Rodessa),Smith,N,N,N,N,"tubing was cut, gas started flowing up"
8,9/24/2007,"Petroplex Energy, Inc.",Quinn,217188.0,,,106H,Mi Vida (Fusselman),Reeves,N,Y,N,0,Hole blew
5,8/9/2007,Chesapeake Operating,Rock Creek Drilling Permit,,,623676.0,E 8H,"Newark,East (Barnett Shale)",Tarrant,N,N,0,0,connection had a leak and got cut
5,8/9/2007,Encana Oil & gas,McLean A No. 2,,,636556.0,A2,,Robertson,Y,N,0,0,"rig light caused dry gas to catch fire, burning rig"
5,8/7/2007,Chesapeake Operating,Rock Creek,,,,,,,,,,,
2,7/20/2007,"REH, Inc.",Fromme Gas Unit #1,,,642079.0,1,Powder River (Consolidated),Goliad,N,N,0,0,production casing started leaking
10,7/17/2007,"Chesapeake Operating, Inc.",Reed 1,,,629066.0,1H,,Wheeler,N,N,0,0,"attempting to install blow out preventer, well kicked."
5,6/26/2007,Jerry Hess Operating,"Callejo ""A""",164952.0,,,2,Sanford Dvoring (Barnett Shale),Dallas,N,N,0,0,well took a kick
8A,6/25/2007,Kinder Morgan Production Co. LP,Sacroc Unit,3137.0,,,36-5,Kelly-Snyder,Scurry,N,N,0,0,contractor broke casing nipple
9,6/12/2007,TELEO,,,,639467.0,2,,,,,,,well took gas kick
8A,6/14/2007,Kinder Morgan Production Co LP,Sacroc Unit,3137.0,,,5203,Kelly-Snyder,Scurry,N,N,0,0,operator snagged a valve on the well casing
7C,6/8/2007,Dominion,"Edwin S. Jr. ""U""",,,634769.0,,,Sutton,Y,N,3,0,kick of gas with condensate
7C,05/17/07,"Pioneer Natural Res. USA, Inc.",University 1-33,,,635372.0,6,Wildcat,Reagan,N,N,0,0,
8,5/16/07,Burlington Res O & G Co-Midland,"Waddell, W.N.",1224.0,,,1262,Dune,Crane,N,Y,0,0,Lost circulation
3,5/6/2007,Merritt Energy,Kavanaught & Collins,,,,A3,,Polk,N,N,0,0,gas started to flow from the casing side of the well.
7B,4/25/07,Upham Oil & Gas Company,J. Andreatta,,,636406.0,2,,Palo Pinto,N,N,0,0,Operator was tripping the drill pipe.
6,4/3/2007,"Fossil Resources, Inc.",Marvin B. McBride Jr.,,,623201.0,1H,Kendrick (James),Nacogdoches,N,N,0,0,port on the wellhead below the bop blewout.
8,3/19/07,Exxon Mobil,Means San Andres,17503.0,,,3360,Means,Andrews,N,N,0,0,casing disconnected.
5,2/23/2007,Devon Energy Prod Co LP,C.E. Neal GU B-1,,,624747.0,11-H,Nan-Su-Gail,Freestone,N,N,0,0,failure of the well head below the frac valve.
9,2/7/2007,Encana Oil & gas,Classic Oak,,,626935.0,2H,,Johnson,N,N,0,0,well head equipment failure
2,1/22/2007,Cologne Production Company,"Schmidt, L.A. ""A""",180471.0,,,8,Cologne (4950),Victoria,Y,N,0,0,TBG Parted
5,1/19/2007,Burlington Resources,T-Bar-X/Sullivan Gas Unit,,,623057.0,2,Wildcat,Robertson,N,N,0,0,removing BOP's
8,1/15/2007,Riata Energy Inc.,West Ranch,,,618128.0,5043,Pinon (Overthrust),Pecos,N,N,0,0,
8,1/13/2007,Riata Energy Inc.,West Ranch,,,627479.0,3309,Algerita (Ouachita Caballos),Pecos,N,Y,0,0,
6,1/9/2007,Carthage School,Carthage High School,,,,,,Panola,N,N,N,N,fresh water well at the school blowing natural gas
6,12/7/2006,XTO Energy,Pirkle,,,624618.0,15,Carthage,Panola,N,N,0,0,drilling break
8A,10/23/2006,Occidental Permian LTD.,Willard Unit,,,,80W,Wasson,Yoakum,N,N,0,0,well was undergoing a workover and the well came in
3,10/22/2006,Samson Lone Star LP,McClintock,,,624626.0,1,Wildcat,Jefferson,N,N,0,0,
8,10/5/2006,Chaparral Energy,Hacienda State,,,621372.0,4-46,,Loving,N,N,0,0,Key Energy truck backed into the well.
8,9/29/2006,"LCX Energy, LLC","Cowden ""B""",,,617808.0,2202,Spraberry (Trend Area),Midland,Y,N,0,0,making a connection and well kicked.
3,9/3/2006,Devon Energy Production Co,Burkhart,,,621007.0,2,Silverspoon,Matagorda,N,0,0,0,dresser sleave blew off a flowline
8,8/25/2006,Forest Oil Corporation,State 71,,,616361.0,1,Wildcat,Reeves,N,0,0,0,equipment related to the snubbing unit broke loose
2,8/21/2006,Lou Little Operating Co.,Klimitchek,,,623583.0,1,Wildcat,Lavaca,Y,0,0,0,making a bit trip when the well came in
2,8/14/2006,"Arrington, David H Oil & Gas",Ericson Clark,,,611891.0,1,,Live Oak,N,,0,0,tripping out of the hold to make a logging run.
2,8/10/2006,Apache Corporation,"Zengerlee, Wayne",,,611944.0,3,Wildcat,De Witt,N,,0,0,
3,8/2/2006,Newpark Env. Services,,,,,,Fannett,Jefferson,N,N,0,0,drilled through salt plug
8,7/27/2006,Fasken Oil & Ranch Ltd.,"Blakeney, B.H., -J-",19468.0,,,2,"Goldsmith, East (Glorieta)",Ector,N,N,0,0,scale caused tubing to pop out
3,7/13/2006,GEL Petroleum,Howard Smith Fee,2969.0,,,18,Markham,Matagorda,N,N,0,0,well pressured up.
8,6/28/2006,Riata Energy Inc,West Ranch,204037.0,,,2302,Algerita (Ouchita Caballos),Pecos,N,N,0,0,shut in bottom pipe rams and forgot to shut in top blind rams.
8,6/27/2006,Whiting Oil & Gas Corporation,"Allday ""N14""",36252.0,,,5,Signal Peak (Wolfcamp),Howard,N,N,0,0,
8A,6/25/2006,Occidental Permian Ltd,Cedar Lake Unit,577.0,,,117W,,Gaines,N,N,0,0,hole in a bradenhead nipple
3,5/24/2006,Quail Creek Oil Corp.,Dolbear Fee,,,617710.0,469,Hull,Liberty,N,N,0,0,none
3,4/24/2006,Gaither Petroleum,S. Hampton,,,614988.0,1,Wildcat,Hardin,N,,0,0,operator pulling wireline out of well when well kicked.
5,4/22/2006,XTO Energy Inc.,Gosey Unit,,,609230.0,1,,Tarrant,N,,0,1,one of the employees removed a plug or valve
3,4/19/2006,Italian-American Oil,Cowan-Zollman,128276.0,,,1,Carlton Speed (Yegua 4600),Grimes,N,Y,0,0,could not close casing valve.
8A,4/12/2006,Occidental Permian LTD,Denver Unit,18910.0,,,6624WC,Wasson,Gaines,N,N,0,0,semi truck backed over injection well.
8A,3/3/2006,"Sharp Image Energy, Inc.","Eiland, Alice",66741.0,,,1,Sharon Ridge (1700),Scurry,N,Y,0,0,tubing broke off at the slips at the wellhead.
